var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5706443,,0.50120676,,,,,,,,,,,,,,,,,,,,0.9969073,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33648515,,,,,,,,,,,,,,,,,,,,,,,0.9952035,0.99280494,,,0.30279016,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62579554,,0.6950169,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9948449,0.9933795,,,0.99525297,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55027753,,0.6402237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951121,0.991996,,,0.9977863,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9461001,,,,,,,,,,,,,,,,,,,,,,0.9955114,,,,,,,,,,0.86593217,,,,,,,,,1
,,,,,,,,,,,,,0.5571121,,,,,,,,,,,,,,,,,,,,,,,,,,0.42744207,0.79991263,0.9237017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99322414,0.9917312,,0.8770369,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97897524,,,,,,,,,,0.7010945,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5536976,,,,,,,,,,,,,,,,,0.9750854,,0.9428533,,0.30686817,,,,,,0.40693438,,0.9895341,0.98858625,,0.5000495,,0.4323469,0.9266144,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5478484,,,,,,,,,,,,,,,,,,,0.3004832,,,0.9942741,,,,,,,,,,0.94457287,,,,0.8245183,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3047087,,,,,,,,,,,,,,,,0.9909376,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7090038,,,,,,,,,,,,,,,,,,,0.6549622,,,0.9946325,,,,,,,,,,0.97402555,,,,0.31682998,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44736847,,,,,,,,,,,,,,,,,,,,,0.4055496,,,,,,,,,,,,,0.4409148,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9286716,,,,,,,,,,0.7118265,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36779493,,,,,,,,,,,0.97893816,,,,,,0.9206355,0.7787383,,,,,,,,0.44872046,0.98227733,0.34143588,,,,,,,0
,,,,,,,,,,,,,,,0.548834,,,,,,,,,,,,,,,,,,,,,,,,0.732007,,,,,,,,,,,,,,,,,,,,,,0.96069056,,,,,,,,,,0.99683565,,,,,,,,,1
0.73379827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8742907,,,,,,,,,,,,,,,,,,,,0.9933768,,,,,,,,,,0.98790866,,,0.93691117,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34176034,,,,,,,,,,0.9703775,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976235,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42855737,,,,,,,,,,,,,,,,,,,,,,0.9930146,,,,,,,,,,0.9552208,,,,0.5726956,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99514693,,,,,,,,0.6319967,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97358423,,,,,,,,,,,,,,,,,,,,,,0.9948454,,,,,,,,,,0.9667304,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45491743,0.9866006,,,,,,,,,,,,,,,,,,,,,,,,0.86005265,,0.9033373,0.8574939,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99253994,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32704002,,,,,,,,,,,,,,,,,1
0.33859605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5121659,,,,,,,,,,,,,0.4513108,,,0.3815206,,,,,,,,,0.9454269,,,0.5492964,,0.825607,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34062,0.42509842,,,,,,,,,,,,,,,,,,,,,,,,0.9728851,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984823,,,,,,,,,,0.42633852,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7526653,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39959803,,0.99820447,,,,,,,,,,0.6746036,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8473226,,0.3110918,,0.39871135,,,,,,,,,,,,,,,,,,,,,,,,,0.98757416,0.96690357,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96281385,,,,,,,,,,,,,,,,,,,,,,0.99455017,,,,,,,,,,0.96920085,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88080055,,,,,,,,,,,,,,,,,,,,,,0.99549294,,,,,,,,,,0.7685922,,,,,,,,,1
